Month Year,Training Deficiency
Jun-16,111
Jul-16,124
Aug-16,133
Sep-16,139
Oct-16,131
Nov-16,149
Dec-16,171
Jan-17,189
Feb-17,207
Mar-17,210
Apr-17,195
May-17,190
Jun-17,204
Jul-17,136
Aug-17,139
Sep-17,152
Oct-17,147
Nov-17,107
Dec-17,105
Jan-18,112
Feb-18,117
Mar-18,143
Apr-18,146
May-18,156
Jun-18,142
Jul-18,143
Aug-18,135
Sep-18,131
Oct-18,128
Nov-18,103
Dec-18,93
Jan-19,89
Feb-19,81
Mar-19,80
Apr-19,123
May-19,135
Jun-19,133
Jul 19,140
Aug 19,148
Sep-19,156
Oct-19,157
Nov-19,152
Dec-19,130
Jan-20,130
Feb-20,160
Mar-20,171
Apr-20,169
May-20,177
Jun-20,219
Jul-20,200
Aug-20,202
Sep-20,192
Oct-20,198
Nov-20,224
Dec-20,228
Jan-21,227
Feb-21,235
Mar-21,212
Apr-21,186
May-21,209
Jun-21,172
Jul-21,170
Aug-21,169
